filename,label,named_label
165.png,6,6 - six
166.png,4,4 - four
167.png,9,9 - nine
168.png,7,7 - seven
169.png,0,0 - zero
170.png,9,9 - nine
171.png,2,2 - two
172.png,9,9 - nine
173.png,5,5 - five
174.png,1,1 - one
175.png,5,5 - five
176.png,9,9 - nine
177.png,1,1 - one
178.png,2,2 - two
179.png,3,3 - three
180.png,2,2 - two
181.png,3,3 - three
182.png,5,5 - five
183.png,9,9 - nine
184.png,1,1 - one
185.png,7,7 - seven
186.png,6,6 - six
187.png,2,2 - two
188.png,8,8 - eight
189.png,2,2 - two
190.png,2,2 - two
191.png,5,5 - five
192.png,0,0 - zero
193.png,7,7 - seven
194.png,4,4 - four
195.png,9,9 - nine
196.png,7,7 - seven
197.png,8,8 - eight
198.png,3,3 - three
199.png,2,2 - two
200.png,1,1 - one
201.png,1,1 - one
202.png,8,8 - eight
203.png,3,3 - three
204.png,6,6 - six
205.png,1,1 - one
206.png,0,0 - zero
207.png,3,3 - three
208.png,1,1 - one
209.png,0,0 - zero
210.png,0,0 - zero
211.png,1,1 - one
212.png,7,7 - seven
213.png,2,2 - two
214.png,7,7 - seven
215.png,3,3 - three
216.png,0,0 - zero
217.png,4,4 - four
218.png,6,6 - six
219.png,5,5 - five
220.png,2,2 - two
221.png,6,6 - six
222.png,4,4 - four
223.png,7,7 - seven
224.png,1,1 - one
225.png,8,8 - eight
226.png,9,9 - nine
227.png,9,9 - nine
228.png,3,3 - three
229.png,0,0 - zero
230.png,7,7 - seven
231.png,1,1 - one
232.png,0,0 - zero
233.png,2,2 - two
234.png,0,0 - zero
235.png,3,3 - three
236.png,5,5 - five
237.png,4,4 - four
238.png,6,6 - six
239.png,5,5 - five
240.png,8,8 - eight
241.png,6,6 - six
242.png,3,3 - three
243.png,7,7 - seven
244.png,5,5 - five
245.png,8,8 - eight
246.png,0,0 - zero
247.png,9,9 - nine
248.png,1,1 - one
249.png,0,0 - zero
250.png,3,3 - three
251.png,1,1 - one
252.png,2,2 - two
253.png,2,2 - two
254.png,3,3 - three
255.png,3,3 - three
256.png,6,6 - six
257.png,4,4 - four
258.png,7,7 - seven
259.png,5,5 - five
260.png,0,0 - zero
261.png,6,6 - six
262.png,2,2 - two
263.png,7,7 - seven
264.png,9,9 - nine
265.png,8,8 - eight
266.png,5,5 - five
267.png,9,9 - nine
268.png,2,2 - two
269.png,1,1 - one
270.png,1,1 - one
271.png,4,4 - four
272.png,4,4 - four
273.png,5,5 - five
274.png,6,6 - six
275.png,4,4 - four
276.png,1,1 - one
277.png,2,2 - two
278.png,5,5 - five
279.png,3,3 - three
280.png,9,9 - nine
281.png,3,3 - three
282.png,9,9 - nine
283.png,0,0 - zero
284.png,5,5 - five
285.png,9,9 - nine
286.png,6,6 - six
287.png,5,5 - five
288.png,7,7 - seven
289.png,4,4 - four
290.png,1,1 - one
291.png,3,3 - three
292.png,4,4 - four
293.png,0,0 - zero
294.png,4,4 - four
295.png,8,8 - eight
296.png,0,0 - zero
297.png,4,4 - four
298.png,3,3 - three
299.png,6,6 - six
300.png,8,8 - eight
301.png,7,7 - seven
302.png,6,6 - six
303.png,0,0 - zero
304.png,9,9 - nine
305.png,7,7 - seven
306.png,5,5 - five
307.png,7,7 - seven
308.png,2,2 - two
309.png,1,1 - one
310.png,1,1 - one
311.png,6,6 - six
312.png,8,8 - eight
313.png,9,9 - nine
314.png,4,4 - four
315.png,1,1 - one
316.png,5,5 - five
317.png,2,2 - two
318.png,2,2 - two
319.png,9,9 - nine
320.png,0,0 - zero
321.png,3,3 - three
322.png,9,9 - nine
323.png,6,6 - six
324.png,7,7 - seven
325.png,2,2 - two
326.png,0,0 - zero
327.png,3,3 - three
328.png,5,5 - five
329.png,4,4 - four
330.png,3,3 - three
331.png,6,6 - six
332.png,5,5 - five
333.png,8,8 - eight
334.png,9,9 - nine
335.png,5,5 - five
336.png,4,4 - four
337.png,7,7 - seven
338.png,4,4 - four
339.png,2,2 - two
340.png,7,7 - seven
341.png,3,3 - three
342.png,4,4 - four
343.png,8,8 - eight
344.png,9,9 - nine
345.png,1,1 - one
346.png,9,9 - nine
347.png,2,2 - two
348.png,8,8 - eight
349.png,7,7 - seven
350.png,9,9 - nine
351.png,1,1 - one
352.png,8,8 - eight
353.png,7,7 - seven
354.png,4,4 - four
355.png,1,1 - one
356.png,3,3 - three
357.png,1,1 - one
358.png,1,1 - one
359.png,0,0 - zero
360.png,2,2 - two
361.png,3,3 - three
362.png,9,9 - nine
363.png,4,4 - four
364.png,9,9 - nine
365.png,2,2 - two
366.png,1,1 - one
367.png,6,6 - six
368.png,8,8 - eight
369.png,4,4 - four
370.png,7,7 - seven
371.png,7,7 - seven
372.png,4,4 - four
373.png,4,4 - four
374.png,9,9 - nine
375.png,2,2 - two
376.png,5,5 - five
377.png,7,7 - seven
378.png,2,2 - two
379.png,4,4 - four
380.png,4,4 - four
381.png,2,2 - two
382.png,1,1 - one
383.png,9,9 - nine
384.png,7,7 - seven
385.png,2,2 - two
386.png,8,8 - eight
387.png,7,7 - seven
388.png,6,6 - six
389.png,9,9 - nine
390.png,2,2 - two
391.png,2,2 - two
392.png,3,3 - three
393.png,8,8 - eight
394.png,1,1 - one
395.png,6,6 - six
396.png,5,5 - five
397.png,1,1 - one
398.png,1,1 - one
399.png,0,0 - zero
400.png,2,2 - two
401.png,6,6 - six
402.png,4,4 - four
403.png,5,5 - five
404.png,8,8 - eight
405.png,3,3 - three
406.png,1,1 - one
407.png,5,5 - five
408.png,1,1 - one
409.png,9,9 - nine
410.png,2,2 - two
411.png,7,7 - seven
412.png,4,4 - four
413.png,4,4 - four
414.png,4,4 - four
415.png,8,8 - eight
416.png,1,1 - one
417.png,5,5 - five
418.png,8,8 - eight
419.png,9,9 - nine
420.png,5,5 - five
421.png,6,6 - six
422.png,7,7 - seven
423.png,9,9 - nine
424.png,9,9 - nine
425.png,3,3 - three
426.png,7,7 - seven
427.png,0,0 - zero
428.png,9,9 - nine
429.png,0,0 - zero
430.png,6,6 - six
431.png,6,6 - six
432.png,2,2 - two
433.png,3,3 - three
434.png,9,9 - nine
435.png,0,0 - zero
436.png,7,7 - seven
437.png,5,5 - five
438.png,4,4 - four
439.png,8,8 - eight
440.png,0,0 - zero
441.png,9,9 - nine
442.png,4,4 - four
443.png,1,1 - one
444.png,2,2 - two
445.png,8,8 - eight
446.png,7,7 - seven
447.png,1,1 - one
448.png,2,2 - two
449.png,6,6 - six
450.png,1,1 - one
451.png,0,0 - zero
452.png,3,3 - three
453.png,0,0 - zero
454.png,1,1 - one
455.png,1,1 - one
456.png,8,8 - eight
457.png,2,2 - two
458.png,0,0 - zero
459.png,3,3 - three
460.png,9,9 - nine
461.png,4,4 - four
462.png,0,0 - zero
463.png,5,5 - five
464.png,0,0 - zero
465.png,6,6 - six
466.png,1,1 - one
467.png,7,7 - seven
468.png,7,7 - seven
469.png,8,8 - eight
470.png,1,1 - one
471.png,9,9 - nine
472.png,2,2 - two
473.png,0,0 - zero
474.png,5,5 - five
475.png,1,1 - one
476.png,2,2 - two
477.png,2,2 - two
478.png,7,7 - seven
479.png,3,3 - three
480.png,5,5 - five
481.png,4,4 - four
482.png,9,9 - nine
483.png,7,7 - seven
484.png,1,1 - one
485.png,8,8 - eight
486.png,3,3 - three
487.png,9,9 - nine
488.png,6,6 - six
489.png,0,0 - zero
490.png,3,3 - three
491.png,1,1 - one
492.png,1,1 - one
493.png,2,2 - two
494.png,6,6 - six
495.png,3,3 - three
496.png,5,5 - five
497.png,7,7 - seven
498.png,6,6 - six
499.png,8,8 - eight
500.png,3,3 - three
501.png,9,9 - nine
502.png,5,5 - five
503.png,8,8 - eight
504.png,5,5 - five
505.png,7,7 - seven
506.png,6,6 - six
507.png,1,1 - one
508.png,1,1 - one
509.png,3,3 - three
510.png,1,1 - one
511.png,7,7 - seven
512.png,5,5 - five
513.png,5,5 - five
514.png,5,5 - five
515.png,2,2 - two
516.png,5,5 - five
517.png,8,8 - eight
518.png,7,7 - seven
519.png,0,0 - zero
520.png,9,9 - nine
521.png,7,7 - seven
522.png,7,7 - seven
523.png,5,5 - five
524.png,0,0 - zero
525.png,9,9 - nine
526.png,0,0 - zero
527.png,0,0 - zero
528.png,8,8 - eight
529.png,9,9 - nine
530.png,2,2 - two
531.png,4,4 - four
532.png,8,8 - eight
533.png,1,1 - one
534.png,6,6 - six
535.png,1,1 - one
536.png,6,6 - six
537.png,5,5 - five
538.png,1,1 - one
539.png,8,8 - eight
540.png,3,3 - three
541.png,4,4 - four
542.png,0,0 - zero
543.png,5,5 - five
544.png,5,5 - five
545.png,8,8 - eight
546.png,3,3 - three
547.png,6,6 - six
548.png,2,2 - two
549.png,3,3 - three
550.png,9,9 - nine
551.png,2,2 - two
552.png,1,1 - one
553.png,1,1 - one
554.png,5,5 - five
555.png,2,2 - two
556.png,1,1 - one
557.png,3,3 - three
558.png,2,2 - two
559.png,8,8 - eight
560.png,7,7 - seven
561.png,3,3 - three
562.png,7,7 - seven
563.png,2,2 - two
564.png,4,4 - four
565.png,6,6 - six
566.png,9,9 - nine
567.png,7,7 - seven
568.png,2,2 - two
569.png,4,4 - four
570.png,2,2 - two
571.png,8,8 - eight
572.png,1,1 - one
573.png,1,1 - one
574.png,3,3 - three
575.png,8,8 - eight
576.png,4,4 - four
577.png,0,0 - zero
578.png,6,6 - six
579.png,5,5 - five
580.png,9,9 - nine
581.png,3,3 - three
582.png,0,0 - zero
583.png,9,9 - nine
584.png,2,2 - two
585.png,4,4 - four
586.png,7,7 - seven
587.png,1,1 - one
588.png,2,2 - two
589.png,9,9 - nine
590.png,4,4 - four
591.png,2,2 - two
592.png,6,6 - six
593.png,1,1 - one
594.png,8,8 - eight
595.png,9,9 - nine
596.png,0,0 - zero
597.png,6,6 - six
598.png,6,6 - six
599.png,7,7 - seven
600.png,9,9 - nine
601.png,9,9 - nine
602.png,8,8 - eight
603.png,0,0 - zero
604.png,1,1 - one
605.png,4,4 - four
606.png,4,4 - four
607.png,6,6 - six
608.png,7,7 - seven
609.png,1,1 - one
610.png,5,5 - five
611.png,7,7 - seven
612.png,0,0 - zero
613.png,3,3 - three
614.png,5,5 - five
615.png,8,8 - eight
616.png,4,4 - four
617.png,7,7 - seven
618.png,1,1 - one
619.png,2,2 - two
620.png,5,5 - five
621.png,9,9 - nine
622.png,5,5 - five
623.png,6,6 - six
624.png,7,7 - seven
625.png,5,5 - five
626.png,9,9 - nine
627.png,8,8 - eight
628.png,8,8 - eight
629.png,3,3 - three
630.png,6,6 - six
631.png,9,9 - nine
632.png,7,7 - seven
633.png,0,0 - zero
634.png,7,7 - seven
635.png,5,5 - five
636.png,7,7 - seven
637.png,1,1 - one
638.png,1,1 - one
639.png,0,0 - zero
640.png,7,7 - seven
641.png,9,9 - nine
642.png,2,2 - two
643.png,3,3 - three
644.png,7,7 - seven
645.png,3,3 - three
646.png,2,2 - two
647.png,4,4 - four
648.png,1,1 - one
649.png,6,6 - six
650.png,2,2 - two
651.png,7,7 - seven
652.png,5,5 - five
653.png,5,5 - five
654.png,7,7 - seven
655.png,4,4 - four
656.png,0,0 - zero
657.png,2,2 - two
658.png,6,6 - six
659.png,3,3 - three
660.png,6,6 - six
661.png,4,4 - four
662.png,0,0 - zero
663.png,4,4 - four
664.png,2,2 - two
665.png,6,6 - six
666.png,0,0 - zero
667.png,0,0 - zero
668.png,0,0 - zero
669.png,0,0 - zero
670.png,3,3 - three
671.png,1,1 - one
672.png,6,6 - six
673.png,2,2 - two
674.png,2,2 - two
675.png,3,3 - three
676.png,1,1 - one
677.png,4,4 - four
678.png,1,1 - one
679.png,5,5 - five
680.png,4,4 - four
681.png,6,6 - six
682.png,4,4 - four
683.png,7,7 - seven
684.png,2,2 - two
685.png,8,8 - eight
686.png,7,7 - seven
687.png,9,9 - nine
688.png,2,2 - two
689.png,0,0 - zero
690.png,5,5 - five
691.png,1,1 - one
692.png,4,4 - four
693.png,2,2 - two
694.png,8,8 - eight
695.png,3,3 - three
696.png,2,2 - two
697.png,4,4 - four
698.png,1,1 - one
699.png,5,5 - five
700.png,4,4 - four
701.png,6,6 - six
702.png,0,0 - zero
703.png,7,7 - seven
704.png,9,9 - nine
705.png,8,8 - eight
706.png,4,4 - four
707.png,9,9 - nine
708.png,8,8 - eight
709.png,0,0 - zero
710.png,1,1 - one
711.png,1,1 - one
712.png,0,0 - zero
713.png,2,2 - two
714.png,2,2 - two
715.png,3,3 - three
716.png,2,2 - two
717.png,4,4 - four
718.png,4,4 - four
719.png,5,5 - five
720.png,8,8 - eight
721.png,6,6 - six
722.png,5,5 - five
723.png,7,7 - seven
724.png,7,7 - seven
725.png,8,8 - eight
726.png,8,8 - eight
727.png,9,9 - nine
728.png,7,7 - seven
729.png,4,4 - four
730.png,7,7 - seven
731.png,3,3 - three
732.png,2,2 - two
733.png,0,0 - zero
734.png,8,8 - eight
735.png,6,6 - six
736.png,8,8 - eight
737.png,6,6 - six
738.png,1,1 - one
739.png,6,6 - six
740.png,8,8 - eight
741.png,9,9 - nine
742.png,4,4 - four
743.png,0,0 - zero
744.png,9,9 - nine
745.png,0,0 - zero
746.png,4,4 - four
747.png,1,1 - one
748.png,5,5 - five
749.png,4,4 - four
750.png,7,7 - seven
751.png,5,5 - five
752.png,3,3 - three
753.png,7,7 - seven
754.png,4,4 - four
755.png,9,9 - nine
756.png,8,8 - eight
757.png,5,5 - five
758.png,8,8 - eight
759.png,6,6 - six
760.png,3,3 - three
761.png,8,8 - eight
762.png,6,6 - six
763.png,9,9 - nine
764.png,9,9 - nine
765.png,1,1 - one
766.png,8,8 - eight
767.png,3,3 - three
768.png,5,5 - five
769.png,8,8 - eight
770.png,6,6 - six
771.png,5,5 - five
772.png,9,9 - nine
773.png,7,7 - seven
774.png,2,2 - two
775.png,5,5 - five
776.png,0,0 - zero
777.png,8,8 - eight
778.png,5,5 - five
779.png,1,1 - one
780.png,1,1 - one
781.png,0,0 - zero
782.png,9,9 - nine
783.png,1,1 - one
784.png,8,8 - eight
785.png,6,6 - six
786.png,7,7 - seven
787.png,0,0 - zero
788.png,9,9 - nine
789.png,3,3 - three
790.png,0,0 - zero
791.png,8,8 - eight
792.png,8,8 - eight
793.png,9,9 - nine
794.png,6,6 - six
795.png,7,7 - seven
796.png,8,8 - eight
797.png,4,4 - four
798.png,7,7 - seven
799.png,5,5 - five
800.png,9,9 - nine
801.png,2,2 - two
802.png,6,6 - six
803.png,7,7 - seven
804.png,4,4 - four
805.png,5,5 - five
806.png,9,9 - nine
807.png,2,2 - two
808.png,3,3 - three
809.png,1,1 - one
810.png,6,6 - six
811.png,3,3 - three
812.png,9,9 - nine
813.png,2,2 - two
814.png,2,2 - two
815.png,5,5 - five
816.png,6,6 - six
817.png,8,8 - eight
818.png,0,0 - zero
819.png,7,7 - seven
820.png,7,7 - seven
821.png,1,1 - one
822.png,9,9 - nine
823.png,8,8 - eight
824.png,7,7 - seven
825.png,0,0 - zero
826.png,9,9 - nine
827.png,9,9 - nine
828.png,4,4 - four
829.png,6,6 - six
830.png,2,2 - two
831.png,8,8 - eight
832.png,5,5 - five
833.png,1,1 - one
834.png,4,4 - four
835.png,1,1 - one
836.png,5,5 - five
837.png,5,5 - five
838.png,1,1 - one
839.png,7,7 - seven
840.png,3,3 - three
841.png,6,6 - six
842.png,4,4 - four
843.png,3,3 - three
844.png,2,2 - two
845.png,5,5 - five
846.png,6,6 - six
847.png,4,4 - four
848.png,4,4 - four
849.png,0,0 - zero
850.png,4,4 - four
851.png,4,4 - four
852.png,6,6 - six
853.png,7,7 - seven
854.png,2,2 - two
855.png,4,4 - four
856.png,3,3 - three
857.png,3,3 - three
858.png,8,8 - eight
859.png,0,0 - zero
860.png,0,0 - zero
861.png,3,3 - three
862.png,2,2 - two
863.png,2,2 - two
864.png,9,9 - nine
865.png,8,8 - eight
866.png,2,2 - two
867.png,3,3 - three
868.png,7,7 - seven
869.png,0,0 - zero
870.png,1,1 - one
871.png,1,1 - one
872.png,0,0 - zero
873.png,2,2 - two
874.png,3,3 - three
875.png,3,3 - three
876.png,8,8 - eight
877.png,4,4 - four
878.png,3,3 - three
879.png,5,5 - five
880.png,7,7 - seven
881.png,6,6 - six
882.png,4,4 - four
883.png,7,7 - seven
884.png,7,7 - seven
885.png,8,8 - eight
886.png,5,5 - five
887.png,9,9 - nine
888.png,7,7 - seven
889.png,0,0 - zero
890.png,3,3 - three
891.png,1,1 - one
892.png,6,6 - six
893.png,2,2 - two
894.png,4,4 - four
895.png,3,3 - three
896.png,4,4 - four
897.png,4,4 - four
898.png,7,7 - seven
899.png,5,5 - five
900.png,9,9 - nine
901.png,6,6 - six
902.png,9,9 - nine
903.png,0,0 - zero
904.png,7,7 - seven
905.png,1,1 - one
906.png,4,4 - four
907.png,2,2 - two
908.png,7,7 - seven
909.png,3,3 - three
910.png,6,6 - six
911.png,7,7 - seven
912.png,5,5 - five
913.png,8,8 - eight
914.png,4,4 - four
915.png,5,5 - five
916.png,5,5 - five
917.png,2,2 - two
918.png,7,7 - seven
919.png,1,1 - one
920.png,1,1 - one
921.png,5,5 - five
922.png,6,6 - six
923.png,8,8 - eight
924.png,5,5 - five
925.png,8,8 - eight
926.png,4,4 - four
927.png,0,0 - zero
928.png,7,7 - seven
929.png,9,9 - nine
930.png,9,9 - nine
931.png,2,2 - two
932.png,9,9 - nine
933.png,7,7 - seven
934.png,7,7 - seven
935.png,8,8 - eight
936.png,7,7 - seven
937.png,4,4 - four
938.png,2,2 - two
939.png,6,6 - six
940.png,9,9 - nine
941.png,1,1 - one
942.png,7,7 - seven
943.png,0,0 - zero
944.png,6,6 - six
945.png,4,4 - four
946.png,2,2 - two
947.png,5,5 - five
948.png,7,7 - seven
949.png,0,0 - zero
950.png,7,7 - seven
951.png,1,1 - one
952.png,0,0 - zero
953.png,3,3 - three
954.png,7,7 - seven
955.png,6,6 - six
956.png,5,5 - five
957.png,0,0 - zero
958.png,6,6 - six
959.png,1,1 - one
960.png,5,5 - five
961.png,1,1 - one
962.png,7,7 - seven
963.png,8,8 - eight
964.png,5,5 - five
965.png,0,0 - zero
966.png,3,3 - three
967.png,4,4 - four
968.png,7,7 - seven
969.png,7,7 - seven
970.png,5,5 - five
971.png,7,7 - seven
972.png,8,8 - eight
973.png,6,6 - six
974.png,9,9 - nine
975.png,3,3 - three
976.png,8,8 - eight
977.png,6,6 - six
978.png,1,1 - one
979.png,0,0 - zero
980.png,9,9 - nine
981.png,7,7 - seven
982.png,1,1 - one
983.png,3,3 - three
984.png,0,0 - zero
985.png,5,5 - five
986.png,6,6 - six
987.png,4,4 - four
988.png,4,4 - four
989.png,2,2 - two
990.png,4,4 - four
991.png,4,4 - four
992.png,3,3 - three
993.png,1,1 - one
994.png,7,7 - seven
995.png,7,7 - seven
996.png,6,6 - six
997.png,0,0 - zero
998.png,3,3 - three
999.png,6,6 - six
1000.png,0,0 - zero
1001.png,7,7 - seven
1002.png,1,1 - one
1003.png,1,1 - one
1004.png,4,4 - four
1005.png,9,9 - nine
1006.png,4,4 - four
1007.png,3,3 - three
1008.png,4,4 - four
1009.png,8,8 - eight
1010.png,2,2 - two
1011.png,2,2 - two
1012.png,1,1 - one
1013.png,8,8 - eight
1014.png,7,7 - seven
1015.png,0,0 - zero
1016.png,8,8 - eight
1017.png,1,1 - one
1018.png,0,0 - zero
1019.png,7,7 - seven
1020.png,6,6 - six
1021.png,3,3 - three
1022.png,7,7 - seven
1023.png,7,7 - seven
1024.png,5,5 - five
1025.png,8,8 - eight
1026.png,8,8 - eight
1027.png,9,9 - nine
1028.png,0,0 - zero
1029.png,0,0 - zero
1030.png,4,4 - four
1031.png,1,1 - one
1032.png,5,5 - five
1033.png,2,2 - two
1034.png,2,2 - two
1035.png,3,3 - three
1036.png,9,9 - nine
1037.png,4,4 - four
1038.png,9,9 - nine
1039.png,5,5 - five
1040.png,0,0 - zero
1041.png,6,6 - six
1042.png,7,7 - seven
1043.png,7,7 - seven
1044.png,1,1 - one
1045.png,8,8 - eight
1046.png,0,0 - zero
1047.png,2,2 - two
1048.png,2,2 - two
1049.png,0,0 - zero
1050.png,4,4 - four
1051.png,1,1 - one
1052.png,1,1 - one
1053.png,2,2 - two
1054.png,7,7 - seven
1055.png,3,3 - three
1056.png,9,9 - nine
1057.png,7,7 - seven
1058.png,2,2 - two
1059.png,8,8 - eight
1060.png,1,1 - one
1061.png,9,9 - nine
1062.png,5,5 - five
1063.png,8,8 - eight
1064.png,8,8 - eight
1065.png,1,1 - one
1066.png,9,9 - nine
1067.png,8,8 - eight
1068.png,3,3 - three
1069.png,1,1 - one
1070.png,6,6 - six
1071.png,5,5 - five
1072.png,7,7 - seven
1073.png,4,4 - four
1074.png,2,2 - two
1075.png,7,7 - seven
1076.png,0,0 - zero
1077.png,3,3 - three
1078.png,0,0 - zero
1079.png,4,4 - four
1080.png,1,1 - one
1081.png,1,1 - one
1082.png,7,7 - seven
1083.png,9,9 - nine
1084.png,1,1 - one
1085.png,1,1 - one
1086.png,8,8 - eight
1087.png,5,5 - five
1088.png,7,7 - seven
1089.png,5,5 - five
1090.png,0,0 - zero
1091.png,6,6 - six
1092.png,6,6 - six
1093.png,0,0 - zero
1094.png,4,4 - four
1095.png,1,1 - one
1096.png,2,2 - two
1097.png,3,3 - three
1098.png,4,4 - four
1099.png,4,4 - four
1100.png,6,6 - six
1101.png,8,8 - eight
1102.png,0,0 - zero
1103.png,9,9 - nine
1104.png,5,5 - five
1105.png,8,8 - eight
1106.png,7,7 - seven
1107.png,0,0 - zero
1108.png,3,3 - three
1109.png,5,5 - five
1110.png,4,4 - four
1111.png,5,5 - five
1112.png,9,9 - nine
1113.png,6,6 - six
1114.png,7,7 - seven
1115.png,1,1 - one
1116.png,9,9 - nine
1117.png,6,6 - six
1118.png,1,1 - one
1119.png,3,3 - three
1120.png,8,8 - eight
1121.png,3,3 - three
1122.png,9,9 - nine
1123.png,1,1 - one
1124.png,2,2 - two
1125.png,7,7 - seven
1126.png,7,7 - seven
1127.png,7,7 - seven
1128.png,0,0 - zero
1129.png,2,2 - two
1130.png,3,3 - three
1131.png,1,1 - one
1132.png,1,1 - one
1133.png,4,4 - four
1134.png,2,2 - two
1135.png,5,5 - five
1136.png,6,6 - six
1137.png,0,0 - zero
1138.png,9,9 - nine
1139.png,6,6 - six
1140.png,2,2 - two
1141.png,8,8 - eight
1142.png,9,9 - nine
1143.png,2,2 - two
1144.png,3,3 - three
1145.png,3,3 - three
1146.png,6,6 - six
1147.png,9,9 - nine
1148.png,1,1 - one
1149.png,4,4 - four
1150.png,3,3 - three
1151.png,3,3 - three
1152.png,0,0 - zero
1153.png,7,7 - seven
1154.png,7,7 - seven
1155.png,1,1 - one
1156.png,7,7 - seven
1157.png,7,7 - seven
1158.png,3,3 - three
1159.png,6,6 - six
1160.png,4,4 - four
1161.png,9,9 - nine
1162.png,5,5 - five
1163.png,4,4 - four
1164.png,4,4 - four
1165.png,2,2 - two
1166.png,7,7 - seven
1167.png,9,9 - nine
1168.png,0,0 - zero
1169.png,9,9 - nine
1170.png,8,8 - eight
1171.png,4,4 - four
1172.png,4,4 - four
1173.png,9,9 - nine
1174.png,1,1 - one
1175.png,2,2 - two
1176.png,4,4 - four
1177.png,9,9 - nine
1178.png,3,3 - three
1179.png,0,0 - zero
1180.png,4,4 - four
1181.png,1,1 - one
1182.png,6,6 - six
1183.png,2,2 - two
1184.png,6,6 - six
1185.png,3,3 - three
1186.png,7,7 - seven
1187.png,4,4 - four
1188.png,2,2 - two
1189.png,6,6 - six
1190.png,6,6 - six
1191.png,7,7 - seven
1192.png,1,1 - one
1193.png,8,8 - eight
1194.png,9,9 - nine
1195.png,0,0 - zero
1196.png,4,4 - four
1197.png,1,1 - one
1198.png,4,4 - four
1199.png,2,2 - two
1200.png,1,1 - one
1201.png,3,3 - three
1202.png,6,6 - six
1203.png,4,4 - four
1204.png,6,6 - six
1205.png,7,7 - seven
1206.png,5,5 - five
1207.png,8,8 - eight
